5,"(935.212, 1087.592)","(1259.129, 926.135)",0,True,11
16,"(1560.698, 1011.562)","(907.423, 1081.803)",1,True,15
26,"(970.142, 1245.195)","(1448.85, 825.247)",2,True,7
29,"(1442.33, 1262.062)","(901.791, 1097.993)",3,True,7
36,"(1349.314, 1013.652)","(1074.739, 1334.803)",4,True,13
41,"(1074.739, 1334.803)","(1302.192, 836.317)",5,True,4
41,"(1224.873, 1166.635)","(1440.809, 1276.609)",6,True,5
48,"(1117.055, 1345.54)","(1404.534, 1012.322)",7,True,3
49,"(1006.99, 863.754)","(1363.511, 1015.551)",8,True,18
56,"(1306.724, 1007.954)","(949.107, 901.364)",9,True,14
74,"(1448.85, 825.247)","(1400.808, 1106.08)",10,True,20
84,"(1361.485, 861.713)","(1380.992, 1345.114)",0,True,9
86,"(949.107, 901.364)","(1260.952, 883.744)",1,True,12
89,"(1316.952, 835.069)","(1388.684, 1221.312)",3,True,8
121,"(1278.33, 1004.156)","(1428.647, 1392.983)",2,True,3
122,"(1477.108, 1175.013)","(1433.208, 1349.342)",4,True,6
126,"(947.949, 869.328)","(969.37, 1215.733)",5,True,12
128,"(1249.936, 1000.357)","(1517.249, 1160.54)",6,True,3
128,"(949.686, 917.381)","(935.212, 1087.592)",7,True,11
132,"(1045.295, 1326.036)","(1378.108, 1391.54)",9,True,16
133,"(1169.352, 848.423)","(1304.002, 1382.856)",11,True,21
135,"(1404.534, 1012.322)","(1544.009, 1150.89)",12,True,12
145,"(1171.423, 998.434)","(1021.75, 862.36)",0,True,5
146,"(1030.573, 1321.653)","(1216.967, 1225.092)",2,True,17
148,"(942.318, 1157.817)","(1316.952, 835.069)",3,True,15
149,"(1319.345, 1186.448)","(1131.16, 1349.119)",8,True,6
156,"(1490.912, 1007.726)","(1171.423, 998.434)",6,True,2
158,"(1380.031, 1360.59)","(1050.722, 1119.112)",13,True,4
160,"(1463.453, 824.234)","(1127.568, 992.789)",1,True,8
161,"(1597.529, 1131.592)","(1513.804, 880.325)",14,True,13
177,"(1187.126, 998.819)","(890.529, 1130.373)",4,True,5
182,"(1381.954, 1329.639)","(930.195, 1287.715)",0,True,7
187,"(1560.864, 1287.712)","(935.212, 1087.592)",6,True,9
190,"(1402.476, 1227.863)","(1257.913, 954.396)",8,True,5
192,"(1335.117, 1011.753)","(876.09, 1171.885)",10,True,1
195,"(1470.852, 1395.997)","(1633.864, 1230.079)",12,True,11
195,"(1460.676, 1008.638)","(1224.873, 1166.635)",15,True,13
195,"(1036.51, 860.966)","(866.464, 1199.559)",16,True,18
197,"(1496.274, 1272.416)","(1006.99, 863.754)",17,True,9
202,"(1333.529, 1188.329)","(1391.052, 1165.091)",7,True,6
202,"(1443.85, 1247.515)","(968.984, 1201.002)",13,True,6
204,"(1108.772, 1134.953)","(1079.747, 1127.033)",5,True,11
208,"(1166.822, 1150.794)","(1565.302, 1026.566)",10,True,10
209,"(1263.812, 1177.261)","(1216.967, 1225.092)",4,True,7
209,"(1224.873, 1166.635)","(1390.266, 1195.855)",18,True,5
218,"(1220.951, 1181.007)","(1428.647, 1392.983)",1,True,9
220,"(1361.358, 846.519)","(971.686, 1304.119)",19,True,21
228,"(1570.769, 1141.241)","(1443.85, 1247.515)",8,True,7
228,"(1418.209, 1011.246)","(1320.92, 1009.853)",11,True,1
229,"(925.877, 1004.73)","(1503.232, 851.267)",14,True,11
232,"(1437.769, 1305.702)","(1583.718, 1086.581)",0,True,8
232,"(1278.33, 1004.156)","(1434.728, 1334.796)",20,True,15
233,"(1607.911, 1159.731)","(1074.739, 1334.803)",21,True,13
235,"(1361.232, 831.325)","(1257.913, 954.396)",9,True,9
238,"(1065.234, 1123.073)","(1361.612, 876.907)",11,True,12
238,"(935.212, 1087.592)","(1539.453, 1341.331)",22,True,11
239,"(945.44, 931.083)","(1391.445, 1149.71)",23,True,15
240,"(1503.232, 851.267)","(1557.389, 1146.066)",7,True,7
242,"(969.37, 1215.733)","(1249.936, 1000.357)",24,True,8
