0,"(935.212, 1087.592)","(1259.129, 926.135)",0,True,11
1,"(1560.698, 1011.562)","(907.423, 1081.803)",1,True,15
4,"(970.142, 1245.195)","(1448.85, 825.247)",2,True,7
8,"(1442.33, 1262.062)","(901.791, 1097.993)",3,True,7
9,"(1349.314, 1013.652)","(1074.739, 1334.803)",4,True,13
17,"(1074.739, 1334.803)","(1302.192, 836.317)",5,True,4
18,"(1224.873, 1166.635)","(1440.809, 1276.609)",6,True,5
21,"(1117.055, 1345.54)","(1404.534, 1012.322)",7,True,3
28,"(1006.99, 863.754)","(1363.511, 1015.551)",8,True,18
29,"(1306.724, 1007.954)","(949.107, 901.364)",9,True,14
32,"(1448.85, 825.247)","(1400.808, 1106.08)",10,True,20
32,"(1361.485, 861.713)","(1380.992, 1345.114)",11,True,21
37,"(949.107, 901.364)","(1260.952, 883.744)",12,True,16
39,"(1316.952, 835.069)","(1388.684, 1221.312)",13,True,20
42,"(1278.33, 1004.156)","(1428.647, 1392.983)",14,True,15
52,"(1477.108, 1175.013)","(1433.208, 1349.342)",15,True,10
56,"(947.949, 869.328)","(969.37, 1215.733)",6,True,19
57,"(1249.936, 1000.357)","(1517.249, 1160.54)",16,True,15
64,"(949.686, 917.381)","(935.212, 1087.592)",17,True,15
71,"(1045.295, 1326.036)","(1378.108, 1391.54)",18,True,4
72,"(1169.352, 848.423)","(1304.002, 1382.856)",19,True,21
72,"(1404.534, 1012.322)","(1544.009, 1150.89)",20,True,12
75,"(1171.423, 998.434)","(1021.75, 862.36)",0,True,3
76,"(1030.573, 1321.653)","(1216.967, 1225.092)",3,True,7
88,"(942.318, 1157.817)","(1316.952, 835.069)",7,True,16
93,"(1319.345, 1186.448)","(1131.16, 1349.119)",2,True,14
95,"(1490.912, 1007.726)","(1171.423, 998.434)",5,True,10
99,"(1380.031, 1360.59)","(1050.722, 1119.112)",21,True,4
101,"(1463.453, 824.234)","(1127.568, 992.789)",22,True,20
101,"(1597.529, 1131.592)","(1513.804, 880.325)",23,True,13
101,"(1187.126, 998.819)","(890.529, 1130.373)",24,True,17
104,"(1381.954, 1329.639)","(930.195, 1287.715)",1,True,14
106,"(1560.864, 1287.712)","(935.212, 1087.592)",4,True,13
106,"(1402.476, 1227.863)","(1257.913, 954.396)",9,True,16
108,"(1335.117, 1011.753)","(876.09, 1171.885)",15,True,10
108,"(1470.852, 1395.997)","(1633.864, 1230.079)",25,True,5
112,"(1460.676, 1008.638)","(1224.873, 1166.635)",18,True,10
112,"(1036.51, 860.966)","(866.464, 1199.559)",26,True,18
113,"(1496.274, 1272.416)","(1006.99, 863.754)",27,True,9
121,"(1333.529, 1188.329)","(1391.052, 1165.091)",0,True,16
123,"(1443.85, 1247.515)","(968.984, 1201.002)",8,True,7
128,"(1108.772, 1134.953)","(1079.747, 1127.033)",3,True,4
130,"(1166.822, 1150.794)","(1565.302, 1026.566)",10,True,7
136,"(1263.812, 1177.261)","(1216.967, 1225.092)",12,True,13
137,"(1224.873, 1166.635)","(1390.266, 1195.855)",14,True,9
139,"(1220.951, 1181.007)","(1428.647, 1392.983)",16,True,7
139,"(1361.358, 846.519)","(971.686, 1304.119)",17,True,15
140,"(1570.769, 1141.241)","(1443.85, 1247.515)",20,True,1
143,"(1418.209, 1011.246)","(1320.92, 1009.853)",6,True,18
147,"(925.877, 1004.73)","(1503.232, 851.267)",3,True,6
148,"(1437.769, 1305.702)","(1583.718, 1086.581)",11,True,4
152,"(1278.33, 1004.156)","(1434.728, 1334.796)",5,True,2
153,"(1607.911, 1159.731)","(1074.739, 1334.803)",13,True,6
154,"(1361.232, 831.325)","(1257.913, 954.396)",21,True,17
157,"(1065.234, 1123.073)","(1361.612, 876.907)",25,True,15
158,"(935.212, 1087.592)","(1539.453, 1341.331)",28,True,11
159,"(945.44, 931.083)","(1391.445, 1149.71)",29,True,15
161,"(1503.232, 851.267)","(1557.389, 1146.066)",23,True,1
167,"(969.37, 1215.733)","(1249.936, 1000.357)",2,True,6
169,"(1234.992, 1316.277)","(971.686, 1304.119)",20,True,9
170,"(1592.925, 1116.588)","(1071.844, 1304.987)",30,True,13
171,"(1385.8, 1267.738)","(949.686, 917.381)",31,True,6
172,"(916.364, 1282.247)","(1316.952, 835.069)",32,True,7
173,"(1633.864, 1230.079)","(890.529, 1130.373)",18,True,11
175,"(1411.801, 1392.502)","(968.212, 1171.54)",33,True,4
175,"(1154.592, 849.817)","(1565.302, 1026.566)",34,True,21
178,"(1259.736, 912.005)","(1304.092, 880.814)",35,True,17
179,"(925.877, 1004.73)","(1079.747, 1127.033)",36,True,13
179,"(1394.954, 1392.021)","(1258.926, 854.622)",37,True,4
180,"(949.686, 917.381)","(1063.16, 1215.54)",0,True,15
180,"(856.838, 1227.234)","(1439.289, 1291.155)",14,True,15
184,"(1348.466, 1388.066)","(1063.16, 1215.54)",15,True,14
189,"(930.195, 1287.715)","(1050.722, 1119.112)",7,True,19
192,"(1390.266, 1195.855)","(1347.713, 1190.211)",1,True,15
193,"(1378.108, 1391.54)","(1228.546, 1271.119)",9,True,13
193,"(1243.153, 841.455)","(1333.645, 1386.33)",11,True,12
196,"(1348.466, 1388.066)","(1513.804, 880.325)",4,True,14
197,"(1292.527, 1006.055)","(1463.453, 824.234)",5,True,11
197,"(1333.529, 1188.329)","(901.791, 1097.993)",8,True,14
198,"(1236.265, 1301.803)","(1506.03, 1007.27)",10,True,14
200,"(1633.864, 1230.079)","(1332.852, 878.86)",12,True,12
201,"(1274.36, 1379.382)","(1496.274, 1272.416)",16,True,3
202,"(1381.954, 1329.639)","(896.16, 1114.183)",19,True,3
206,"(903.476, 1137.234)","(1051.27, 859.573)",22,True,8
207,"(1538.621, 1001.687)","(1201.686, 1367.014)",6,True,5
207,"(1050.722, 1119.112)","(1318.824, 1384.593)",23,True,12
209,"(1216.967, 1225.092)","(1363.511, 1015.551)",24,True,10
212,"(1394.954, 1392.021)","(1419.644, 827.273)",26,True,14
212,"(1402.476, 1227.863)","(1377.185, 1014.475)",27,True,18
213,"(880.903, 1158.047)","(1213.108, 1209.75)",38,True,11
216,"(1419.213, 1188.908)","(1259.539, 1377.645)",3,True,11
217,"(1569.906, 1041.57)","(1276.792, 1180.803)",39,True,15
217,"(1320.92, 1009.853)","(992.23, 865.147)",40,True,14
218,"(916.423, 1144.095)","(1068.949, 1275.171)",41,True,10
219,"(1331.712, 833.821)","(1276.792, 1180.803)",42,True,21
222,"(876.09, 1171.885)","(1346.472, 832.573)",20,True,5
223,"(1258.926, 854.622)","(1050.722, 1119.112)",43,True,19
223,"(971.686, 1304.119)","(1290.976, 1182.684)",44,True,6
224,"(1213.632, 844.242)","(1131.16, 1349.119)",45,True,20
224,"(1470.062, 1259.966)","(1404.534, 1012.322)",46,True,8
224,"(1074.739, 1334.803)","(1363.511, 1015.551)",47,True,4
225,"(1404.534, 1012.322)","(957.856, 1298.651)",21,True,5
226,"(874.873, 1265.844)","(1492.659, 822.208)",13,True,5
228,"(1304.092, 880.814)","(847.212, 1254.908)",48,True,19
229,"(1533.289, 1370.674)","(1290.976, 1182.684)",2,True,14
229,"(1522.486, 1284.867)","(1201.686, 1367.014)",49,True,10
229,"(1545.616, 1311.989)","(1112.949, 990.908)",50,True,9
231,"(1215.792, 1370.593)","(1602.72, 1145.662)",33,True,9
231,"(1292.527, 1006.055)","(992.23, 865.147)",51,True,14
231,"(935.212, 1087.592)","(1419.644, 827.273)",52,True,11
231,"(1430.167, 1378.436)","(914.804, 1050.974)",53,True,5
234,"(1390.266, 1195.855)","(1430.167, 1378.436)",54,True,8
235,"(861.651, 1213.396)","(1439.289, 1291.155)",55,True,10
236,"(1304.002, 1382.856)","(1244.718, 1375.908)",56,True,2
236,"(1456.956, 1253.741)","(1497.945, 836.738)",57,True,8
236,"(1503.232, 851.267)","(929.37, 1150.956)",58,True,18
236,"(1418.209, 1011.246)","(968.212, 1171.54)",59,True,12
236,"(1434.728, 1334.796)","(1274.36, 1379.382)",60,True,6
246,"(902.534, 1276.78)","(1066.055, 1245.356)",1,True,15
248,"(1070.397, 1290.079)","(1231.171, 1359.698)",16,True,14
249,"(1361.232, 831.325)","(1597.529, 1131.592)",17,True,20
254,"(1349.314, 1013.652)","(1289.181, 1381.119)",9,True,12
256,"(1477.108, 1175.013)","(1152.31, 1146.834)",0,True,12
258,"(1621.698, 1239.684)","(1463.453, 824.234)",15,True,17
258,"(1361.232, 831.325)","(885.716, 1144.21)",28,True,16
259,"(936.949, 958.487)","(1545.521, 967.5)",29,True,14
259,"(1290.976, 1182.684)","(1392.231, 1118.946)",31,True,13
260,"(1436.248, 1320.249)","(1477.108, 1175.013)",19,True,16
260,"(1522.486, 1284.867)","(1181.335, 1154.754)",22,True,20
262,"(1388.684, 1221.312)","(888.703, 1271.312)",5,True,13
263,"(1228.546, 1271.119)","(1534.949, 938.442)",25,True,19
264,"(1173.476, 1359.856)","(1442.33, 1262.062)",32,True,22
265,"(1633.864, 1230.079)","(1258.926, 854.622)",30,True,16
265,"(935.212, 1087.592)","(885.716, 1144.21)",35,True,14
268,"(1508.518, 865.796)","(1210.36, 1162.675)",18,True,19
269,"(1529.663, 923.913)","(866.464, 1199.559)",36,True,16
274,"(1095.551, 855.392)","(1347.232, 877.883)",6,True,19
274,"(1021.844, 1111.232)","(1289.181, 1381.119)",7,True,1
276,"(1382.915, 1314.164)","(1456.956, 1253.741)",3,True,4
277,"(1001.13, 1312.886)","(1390.86, 1013.399)",8,True,6
277,"(1259.939, 869.183)","(1304.092, 880.814)",14,True,14
